trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.5, 'e': 0.3568862864853744}",25,0,-63.351233627175944,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.3497485607556669}",20,0,-56.610514343444365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.34275358954055357}",20,0,7.914208969127168,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3358985177497425}",25,0,-28.299826638513398,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,3,-44.079399649171435,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",25,11,-57.16214845316337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,0,-110.26397134843067,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",35,18,23.888751442173955,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,3,-33.739425133172695,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,8,-21.32176181327469,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",20,10,18.38064498381448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",25,16,-15.440301262744068,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,0,28.33076011864605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",20,0,-61.59806385361423,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,0,-81.63486632292059,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",30,16,28.594483386289177,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",30,3,-20.025170941403413,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,5,-73.5160597665245,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.2480842668343485}",25,7,-54.32979052038146,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766153}",20,2,7.630434973214811,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",25,5,-6.353466188166504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,1,-48.59625144268899,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494703}",25,6,-1.4227015574836483,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.2242485281504481}",20,0,-35.63798416479711,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.21976355758743912}",20,12,13.66797193852221,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
